SYMBOL	STAN	EOREOR
	0,000	EOREOR
795711127985	0,000	EOREOR
795711862114	0,000	EOREOR
795711862121	2,000	EOREOR
795711962722	0,000	EOREOR
795711982676	0,000	EOREOR
795711019211	45,000	EOREOR
795711716554	0,000	EOREOR
795711897512	1,000	EOREOR
795711482503	6,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
795711135584	0,000	EOREOR
795711135607	1,000	EOREOR
795711135591	0,000	EOREOR
886661110353	0,000	EOREOR
795711483814	0,000	EOREOR
	0,000	EOREOR
795711485498	1,000	EOREOR
795711485641	0,000	EOREOR
795711489441	13,000	EOREOR
795711072094	1,000	EOREOR
795711087470	4,000	EOREOR
795711488598	0,000	EOREOR
795711486570	0,000	EOREOR
795711022099	0,000	EOREOR
795711285142	2,000	EOREOR
795711489465	10,000	EOREOR
795711490096	0,000	EOREOR
795711491789	1,000	EOREOR
795711486822	10,000	EOREOR
795711490461	6,000	EOREOR
795711491833	0,000	EOREOR
795711493004	0,000	EOREOR
795711492588	0,000	EOREOR
795711491642	4,000	EOREOR
795711491390	0,000	EOREOR
795711491079	7,000	EOREOR
795711491659	6,000	EOREOR
795711491321	14,000	EOREOR
795711493660	6,000	EOREOR
795711492120	0,000	EOREOR
795711492052	1,000	EOREOR
795711492700	14,000	EOREOR
795711491277	0,000	EOREOR
795711493295	6,000	EOREOR
795711492465	1,000	EOREOR
795711493387	16,000	EOREOR
795711493042	2,000	EOREOR
795711492595	1,000	EOREOR
795711492656	1,000	EOREOR
795711492175	0,000	EOREOR
	0,000	EOREOR
795711491444	2,000	EOREOR
795711494988	9,000	EOREOR
795711494773	2,000	EOREOR
795711492304	14,000	EOREOR
886661778928	4,000	EOREOR
795711494087	12,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
795711494940	10,000	EOREOR
	0,000	EOREOR
795711492489	0,000	EOREOR
	0,000	EOREOR
795711285043	7,000	EOREOR
795711285272	8,000	EOREOR
	0,000	EOREOR
795711492267	5,000	EOREOR
795711023928	1,000	EOREOR
795711023973	6,000	EOREOR
795711495039	0,000	EOREOR
795711494469	0,000	EOREOR
795711495794	0,000	EOREOR
795711493875	0,000	EOREOR
795711991692	0,000	EOREOR
795711495619	5,000	EOREOR
795711495626	0,000	EOREOR
795711509439	0,000	EOREOR
795711510541	0,000	EOREOR
795711509576	1,000	EOREOR
795711509590	1,000	EOREOR
795711495480	0,000	EOREOR
795711495954	0,000	EOREOR
	0,000	EOREOR
795711510367	0,000	EOREOR
795711509293	0,000	EOREOR
795711496005	0,000	EOREOR
795711495541	10,000	EOREOR
795711509828	1,000	EOREOR
795711496012	0,000	EOREOR
795711509538	0,000	EOREOR
795711496203	0,000	EOREOR
795711495138	1,000	EOREOR
